Sample,Site,Hab,HabSeason,order,micro.season,Season,flw_avg,flw_var,dpth_avg,Sand,VryFnGvl,FineGvl,MedGvl,CrsGrvl,VyCrsGvl,SmCble,LgCble,SmBlder,MedBldr,LrgBldr
F19_TCR3,Tangle,Riffle,Riffle Fall,Tangle Riffle,13,0,0.1,0,3.55,30,21,3,5,16,23,10,0,1,0,0
F19_TCP1,Tangle,Pool,Pool Fall,Tangle Pool,14,0,0,0,33.65,7,56,10,0,1,0,3,11,4,0,12
F19_TCP2,Tangle,Pool,Pool Fall,Tangle Pool,14,0,0,0,33.65,7,56,10,0,1,0,3,11,4,0,12
F19_TCP3,Tangle,Pool,Pool Fall,Tangle Pool,14,0,0,0,33.65,7,56,10,0,1,0,3,11,4,0,12
F19_CCR1,Clear,Riffle,Riffle Fall,Clear Riffle,15,0,0.6755,0.055226053,17.6,1,3,3,5,17,21,25,17,9,1,0
F19_CCR2,Clear,Riffle,Riffle Fall,Clear Riffle,15,0,0.6755,0.055226053,17.6,1,3,3,5,17,21,25,17,9,1,0
F19_CCR3,Clear,Riffle,Riffle Fall,Clear Riffle,15,0,0.6755,0.055226053,17.6,1,3,3,5,17,21,25,17,9,1,0
F19_CCP1,Clear,Pool,Pool Fall,Clear Pool ,16,0,0.026,0.000330526,52.55,3,0,1,1,9,21,32,20,12,4,0
F19_CCP2,Clear,Pool,Pool Fall,Clear Pool ,16,0,0.026,0.000330526,52.55,3,0,1,1,9,21,32,20,12,4,0
F19_CCP3,Clear,Pool,Pool Fall,Clear Pool ,16,0,0.026,0.000330526,52.55,3,0,1,1,9,21,32,20,12,4,0
F19_FCR1,Fossil,Riffle,Riffle Fall,Fossil Riffle ,17,0,0.593,0.067085263,27.8,4,6,4,2,8,14,32,17,7,6,3
F19_FCR2,Fossil,Riffle,Riffle Fall,Fossil Riffle ,17,0,0.593,0.067085263,27.8,4,6,4,2,8,14,32,17,7,6,3
F19_FCR3,Fossil,Riffle,Riffle Fall,Fossil Riffle ,17,0,0.593,0.067085263,27.8,4,6,4,2,8,14,32,17,7,6,3
F19_FCP1,Fossil,Pool,Pool Fall,Fossil Pool ,18,0,0.14,0.043378947,23.1,9,6,1,1,3,4,14,6,20,5,32
F19_FCP2,Fossil,Pool,Pool Fall,Fossil Pool ,18,0,0.14,0.043378947,23.1,9,6,1,1,3,4,14,6,20,5,32
F19_FCP3,Fossil,Pool,Pool Fall,Fossil Pool ,18,0,0.14,0.043378947,23.1,9,6,1,1,3,4,14,6,20,5,32
